DBN,School Name,Year,Total Enrollment,Grade PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
23K401,Christopher Avenue Community School,2017-18,302,58,41,38,55,43,35,32,0,0,0,0,0,0,0,144,47.7,158,52.3,0,0,199,65.9,99,32.8,2,0.7,2,0.7,62,20.5,12,4,295,97.7,95.3%
23K446,Riverdale Avenue Community School,2017-18,347,34,44,56,51,64,52,46,0,0,0,0,0,0,0,173,49.9,174,50.1,6,1.7,256,73.8,75,21.6,5,1.4,5,1.4,79,22.8,22,6.3,328,94.5,94.1%
23K493,Brooklyn Collegiate: A College Board School,2017-18,271,0,0,0,0,0,0,0,0,0,0,75,70,64,62,115,42.4,156,57.6,3,1.1,228,84.1,34,12.5,4,1.5,2,0.7,69,25.5,18,6.6,255,94.1,80.4%
23K514,Frederick Douglass Academy VII High School,2017-18,157,0,0,0,0,0,0,0,0,0,0,37,44,35,41,67,42.7,90,57.3,3,1.9,132,84.1,19,12.1,3,1.9,0,0,51,32.5,7,4.5,145,92.4,85.2%
23K518,Kappa V (Knowledge and Power Preparatory Academy),2017-18,228,0,0,0,0,0,0,0,75,77,76,0,0,0,0,118,51.8,110,48.2,0,0,200,87.7,21,9.2,6,2.6,1,0.4,70,30.7,3,1.3,187,82,80.6%
23K522,Mott Hall IV,2017-18,160,0,0,0,0,0,0,0,42,58,60,0,0,0,0,91,56.9,69,43.1,2,1.3,137,85.6,20,12.5,1,0.6,0,0,61,38.1,3,1.9,143,89.4,90.7%
23K599,Brooklyn Landmark Elementary School,2017-18,325,31,57,44,43,61,44,45,0,0,0,0,0,0,0,155,47.7,170,52.3,7,2.2,235,72.3,74,22.8,3,0.9,6,1.8,54,16.6,10,3.1,242,74.5,80.1%
23K643,Brooklyn Democracy Academy,2017-18,230,0,0,0,0,0,0,0,0,0,0,45,61,41,83,98,42.6,132,57.4,3,1.3,185,80.4,37,16.1,3,1.3,2,0.9,61,26.5,6,2.6,190,82.6,84.0%
23K644,Eagle Academy for Young Men II,2017-18,647,0,0,0,0,0,0,0,98,101,85,95,95,88,85,0,0,647,100,4,0.6,574,88.7,54,8.3,11,1.7,4,0.6,165,25.5,4,0.6,518,80.1,72.8%
23K646,Aspirations Diploma Plus High School,2017-18,214,0,0,0,0,0,0,0,0,0,0,15,46,57,96,104,48.6,110,51.4,1,0.5,159,74.3,49,22.9,3,1.4,2,0.9,53,24.8,7,3.3,200,93.5,88.6%
23K647,Metropolitan Diploma Plus High School,2017-18,217,0,0,0,0,0,0,0,0,0,0,45,74,57,41,100,46.1,117,53.9,1,0.5,188,86.6,24,11.1,3,1.4,1,0.5,69,31.8,4,1.8,202,93.1,87.2%
23K664,Brooklyn Environmental Exploration School (BEES),2017-18,95,0,0,0,0,0,0,0,33,27,35,0,0,0,0,54,56.8,41,43.2,0,0,70,73.7,18,18.9,2,2.1,5,5.3,38,40,6,6.3,93,97.9,92.4%
23K668,Riverdale Avenue Middle School,2017-18,127,0,0,0,0,0,0,0,43,38,46,0,0,0,0,54,42.5,73,57.5,5,3.9,94,74,23,18.1,3,2.4,2,1.6,50,39.4,16,12.6,123,96.9,89.4%
23K671,Mott Hall Bridges Academy,2017-18,199,0,0,0,0,0,0,0,65,65,69,0,0,0,0,94,47.2,105,52.8,2,1,165,82.9,31,15.6,0,0,1,0.5,51,25.6,0,0,188,94.5,90.8%
23K697,Teachers Preparatory High School,2017-18,250,0,0,0,0,0,0,0,0,21,29,40,46,52,62,137,54.8,113,45.2,5,2,189,75.6,44,17.6,2,0.8,10,4,86,34.4,17,6.8,220,88,87.2%
24Q005,I.S. 5 - The Walter Crowley Intermediate School,2017-18,1798,0,0,0,0,0,0,0,554,614,630,0,0,0,0,879,48.9,919,51.1,785,43.7,28,1.6,929,51.7,17,0.9,39,2.2,305,17,298,16.6,1414,78.6,76.3%
24Q007,P.S. 007 Louis F. Simeone,2017-18,993,51,251,229,238,224,0,0,0,0,0,0,0,0,0,479,48.2,514,51.8,611,61.5,4,0.4,342,34.4,4,0.4,32,3.2,98,9.9,471,47.4,878,88.4,76.0%
24Q012,P.S. 012 James B. Colgate,2017-18,1219,0,203,213,196,207,185,215,0,0,0,0,0,0,0,594,48.7,625,51.3,681,55.9,7,0.6,486,39.9,9,0.7,36,3,174,14.3,357,29.3,1087,89.2,74.6%
24Q013,P.S. 013 Clement C. Moore,2017-18,1597,0,259,254,255,285,287,257,0,0,0,0,0,0,0,794,49.7,803,50.3,497,31.1,144,9,872,54.6,19,1.2,65,4.1,219,13.7,499,31.2,1154,72.3,75.8%
24Q014,P.S. 014 Fairview,2017-18,1691,0,243,250,273,291,357,277,0,0,0,0,0,0,0,846,50,845,50,116,6.9,40,2.4,1490,88.1,12,0.7,33,2,291,17.2,528,31.2,1428,84.4,88.4%
24Q016,P.S. Q016 The Nancy DeBenedittis School,2017-18,1574,0,182,208,238,316,322,308,0,0,0,0,0,0,0,772,49,802,51,116,7.4,2,0.1,1431,90.9,8,0.5,17,1.1,304,19.3,734,46.6,1339,85.1,88.1%
24Q019,P.S. 019 Marino Jeantet,2017-18,1891,0,314,331,308,324,330,284,0,0,0,0,0,0,0,933,49.3,958,50.7,104,5.5,11,0.6,1762,93.2,6,0.3,8,0.4,397,21,1082,57.2,1731,91.5,87.9%
24Q028,P.S. 28 - The Thomas Emanuel Early Childhood Cente,2017-18,507,14,162,165,166,0,0,0,0,0,0,0,0,0,0,269,53.1,238,46.9,35,6.9,0,0,465,91.7,3,0.6,4,0.8,109,21.5,328,64.7,417,82.2,84.3%
24Q049,P.S. 049 Dorothy Bonawit Kole,2017-18,1160,0,126,123,113,117,136,132,138,142,133,0,0,0,0,579,49.9,581,50.1,216,18.6,6,0.5,278,24,15,1.3,645,55.6,185,15.9,75,6.5,551,47.5,37.7%
24Q058,P.S. 58 - The School of Heroes,2017-18,1027,36,144,147,137,136,146,163,118,0,0,0,0,0,0,502,48.9,525,51.1,409,39.8,9,0.9,400,38.9,12,1.2,197,19.2,172,16.7,134,13,784,76.3,58.2%
24Q061,I.S. 061 Leonardo Da Vinci,2017-18,2238,0,0,0,0,0,0,0,771,752,715,0,0,0,0,1030,46,1208,54,160,7.1,61,2.7,1968,87.9,8,0.4,41,1.8,458,20.5,704,31.5,2152,96.2,85.9%
24Q068,P.S. 068 Cambridge,2017-18,646,41,95,80,105,90,130,105,0,0,0,0,0,0,0,311,48.1,335,51.9,23,3.6,17,2.6,553,85.6,3,0.5,50,7.7,129,20,102,15.8,456,70.6,73.1%
24Q071,P.S. 071 Forest,2017-18,752,56,125,92,109,103,137,130,0,0,0,0,0,0,0,368,48.9,384,51.1,32,4.3,7,0.9,425,56.5,34,4.5,254,33.8,139,18.5,113,15,651,86.6,72.1%
24Q073,I.S. 73 - The Frank Sansivieri Intermediate School,2017-18,1971,0,0,0,0,0,0,0,516,687,768,0,0,0,0,894,45.4,1077,54.6,574,29.1,21,1.1,1138,57.7,13,0.7,225,11.4,382,19.4,284,14.4,1385,70.3,71.1%
24Q077,I.S. 077,2017-18,1012,0,0,0,0,0,0,0,317,350,345,0,0,0,0,480,47.4,532,52.6,93,9.2,22,2.2,792,78.3,4,0.4,101,10,284,28.1,216,21.3,932,92.1,80.1%
