Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Tanzania,TZA,0.323359658812521,0.784690750658534,1.68077944689674,3.49403075263899,5.07712630677179,7.52082976776901,13.8033891417801,19.6833701402655,30.0595093928969,39.1129223740581,45.5195105637827,53.9541062307374,55.455625498989,54.195632624982,60.9988243676844,73.6184700370121
Thailand,THA,4.85402805148529,11.8816576822974,27.234319191729,33.4860600624411,41.4840346018277,46.5571557988044,60.9585713842108,80.0264398178036,92.9242734623513,98.6101554252366,106.721577326591,114.688065904804,125.305150513062,137.723479271148,141.918417314398,149.935331267041
Timor-Leste,TLS,,,,2.08752232393751,2.58072154253345,3.22187194344968,4.68233994932392,7.34431764936764,11.5945497212715,32.132257529846,42.630122270278,54.2764928331108,53.6844289221619,54.8816835336374,113.434459034939,110.934288064968
Togo,TGO,1.00596193399803,1.85845607294538,3.1446040272137,4.51854721991557,6.0088374982248,7.63002906074463,12.1278730040399,19.8473001149668,25.1475706109063,34.5524630706841,40.016949225521,40.3536637620631,48.2870135091833,60.5285315183358,62.4729160600173,65.4622571830824
Tonga,TON,0.183519911910442,0.239324213323057,3.38159380545249,11.2236819689545,16.333685237934,29.5642363001158,29.5518689337096,45.453657297498,48.9995631280035,51.1563260105787,52.1428502837608,52.5928263384874,53.3582338424598,54.5913717150235,64.2831483617251,69.0957466812079
Trinidad and Tobago,TTO,12.765145301518,20.1281063833132,20.563812129403,26.1945777896845,50.4588407133476,71.2526620475676,116.54890019829,115.317049325573,137.308685299672,139.703378737275,142.62781417062,136.815734034169,140.406965476734,144.177703211872,146.221944299454,156.119880125756
Tunisia,TUN,1.22860686302175,3.97731342905327,5.82233393340812,19.291671219128,37.2913135590048,56.2309935320845,71.978708404831,76.1560763664164,82.654811951877,93.1113910369618,104.457500711236,115.111220431192,117.978145379284,115.41420908583,128.174362171691,129.468812305071
Turkey,TUR,25.5113442936012,30.491427880282,35.8029238236206,42.1989803165439,51.7962394110362,64.2220583161911,76.5853581567114,89.04917851604,93.4470188769931,88.001501559066,85.4033880112734,88.9827407109888,90.7612548108742,91.9165581403953,93.324457902641,94.0818654847835
Turkmenistan,TKM,0.166071356211766,0.179072233615537,0.177288426339078,0.197326268793732,1.06518733902596,2.20836862341447,4.50859180828693,7.83694586004459,22.9984752101094,42.5900817699857,62.8561431511575,102.43404552053,112.000385736922,114.144312714383,131.829167429683,140.909250992402
Turks and Caicos Islands,TCA,,,41.6337043510257,82.7039726612559,100.227744925683,,,,,,,,,,,
Tuvalu,TUV,0,0,0,0,5.05356781888013,12.96499451481,15.7837624543751,17.5729766669921,,9.57762666411263,15.1932390086412,20.0414000752729,26.1072261072261,31.4261946575469,34.8368170150348,59.9945459503681
Uganda,UGA,0.527940236464712,1.14070099359112,1.52931513309253,2.9152084408458,4.22597422646682,4.60798334077216,6.79787816597814,13.714322364335,27.0177239086435,28.6334799986391,37.8246017787989,47.5783879749407,45.0504831106551,48.1141285421319,52.444476959462,50.3682612498185
